,UMAP_1,UMAP_2
cell_00398,3.205254,4.089386
cell_00399,3.2221525,4.8422303
cell_00400,-3.4052851,6.725732
cell_00401,9.547446,-2.8943214
cell_00402,9.179606,-5.1299787
cell_00403,-4.562491,3.2764194
cell_00404,10.349683,-3.0990152
cell_00405,7.215455,-4.316255
cell_00406,-2.984145,6.487589
cell_00407,7.804414,-4.1972947
cell_00408,-4.911287,2.9054942
cell_00409,9.098354,-5.054528
cell_00410,7.3391194,-1.7503905
cell_00411,8.035607,-0.20607024
cell_00412,-5.090566,3.6713
cell_00413,7.510615,-5.2908273
cell_00414,-5.5047774,1.1786021
cell_00415,-4.2723317,6.3285403
cell_00416,-4.769964,5.0554376
cell_00417,9.766095,-2.1724741
cell_00418,-5.179242,5.367814
cell_00419,9.509777,-3.4066293
cell_00420,7.7751365,-1.5449178
cell_00421,-6.550395,1.5178859
cell_00422,-6.5966015,0.94902116
cell_00423,-6.0267816,1.7194877
cell_00424,5.9482307,-1.1466453
cell_00425,7.3690314,-3.8451667
cell_00426,-3.5571227,5.220569
cell_00427,10.3645315,-1.3724947
cell_00428,-6.2044153,2.647369
cell_00429,9.777753,-3.0878775
cell_00430,10.089387,-2.509507
cell_00431,6.7053976,-4.861726
cell_00432,9.655648,-0.94173706
cell_00433,10.035345,-2.605338
cell_00434,-5.404778,1.7464269
cell_00435,-4.241617,5.7766204
cell_00436,-5.154138,5.2218966
cell_00437,4.5136952,1.9272321
cell_00438,9.425416,-1.2200125
cell_00439,6.2317276,-3.2545638
cell_00440,6.860831,-4.609902
cell_00441,-4.776299,4.115776
cell_00442,7.3018575,-4.884605
cell_00443,-4.061369,5.293794
cell_00444,-2.9570968,4.950538
cell_00445,8.112461,-2.4526596
cell_00446,9.401431,-4.140352
cell_00447,5.8427944,-1.2606343
cell_00448,-6.5282083,2.2145922
cell_00449,7.961945,-0.41355014
cell_00450,-6.482886,2.232092
cell_00451,6.989723,-5.1951656
cell_00452,9.800987,-2.6209035
cell_00453,-4.341653,4.6136775
cell_00454,-5.5488024,3.5495186
cell_00455,-4.579975,5.717616
cell_00456,9.112237,-3.7204106
cell_00457,2.5978312,4.661274
cell_00458,8.608754,-3.0984085
cell_00459,6.883681,-0.57817584
cell_00460,5.511384,0.25657314
cell_00461,-4.4775496,4.249358
cell_00462,7.8238406,-5.004486
cell_00463,-3.0049176,6.7556047
cell_00464,6.2470207,-1.0571967
cell_00465,7.2063646,-4.298423
cell_00466,7.641915,-1.4582828
cell_00467,10.276686,-1.7308112
cell_00468,-5.3601956,4.8687325
cell_00469,5.349737,0.96852356
cell_00470,0.35971954,5.9917183
cell_00471,3.7757773,3.8614407
cell_00472,-5.026155,4.4146705
cell_00473,-4.445058,4.534426
cell_00474,-2.8559704,5.2150464
cell_00475,-3.2090013,6.4194956
cell_00476,2.4644825,5.709685
cell_00477,7.245998,-0.5985432
cell_00478,7.2827477,-3.0004191
cell_00479,1.5843693,6.241066
cell_00480,1.0189098,6.7390423
cell_00481,-4.4997063,5.668256
cell_00482,5.948416,-1.2608237
cell_00483,-2.5347776,7.4877954
cell_00484,-5.873505,0.9269622
cell_00485,1.6636463,5.499342
cell_00486,3.8992085,3.6050029
cell_00487,-3.4956365,4.450062
cell_00488,6.2831454,-0.41345686
cell_00489,4.9778934,0.16207135
cell_00490,6.7524147,-3.4023817
cell_00491,6.2631216,-2.4560826
cell_00492,8.1726055,-1.2179928
cell_00493,-2.4075942,6.8785195
cell_00494,8.450247,-4.788156
cell_00495,4.903439,0.09885213
cell_00496,2.181575,5.7897043
cell_00497,7.7807117,-1.0870645
cell_00498,-1.2840523,7.423995
cell_00499,4.0920405,1.8446497
cell_00500,7.591751,-5.5027394
cell_00501,8.067596,-5.0562706
cell_00502,10.3176985,-2.0208354
cell_00503,3.983394,2.9337611
cell_00504,3.6081085,1.87154
cell_00505,8.389584,-5.601076
cell_00506,-1.895598,6.5682416
cell_00507,8.605393,-2.434764
cell_00508,4.056826,2.0987382
cell_00509,-5.8997116,4.2572556
cell_00510,-5.1274033,2.711589
cell_00511,8.64623,-5.405644
cell_00512,-5.149798,2.0435734
cell_00513,-3.3603907,4.9463124
cell_00514,-2.1842823,7.527497
cell_00515,-4.037501,3.8297684
cell_00516,-1.9320736,6.939445
cell_00517,6.527728,-3.1217542
cell_00518,-6.392618,0.63000554
cell_00519,8.551322,-5.0393972
cell_00520,8.765869,-3.2512395
cell_00521,-0.23908143,6.801551
cell_00522,-3.5888731,4.479217
cell_00523,5.762496,-0.26145074
cell_00524,-5.536158,3.6910808
cell_00525,-1.2429821,7.204205
cell_00526,8.537039,-5.147288
cell_00527,7.5805655,-6.1214943
cell_00528,8.429426,-4.447342
cell_00529,-2.583764,5.8930573
cell_00530,6.7745295,-3.0887415
cell_00531,7.828921,-1.9914653
cell_00532,1.1079713,6.288602
cell_00533,6.7891045,-2.7897224
cell_00534,-6.099713,1.366513
cell_00535,-3.6170654,5.2765107
cell_00536,4.6958137,1.2705036
cell_00537,-4.997365,5.197949
cell_00538,-4.579935,5.024151
cell_00539,9.966255,-2.7898986
cell_00540,10.345161,-2.5574262
cell_00541,4.6823134,-0.048973106
cell_00542,9.546217,-2.0451798
cell_00543,9.930765,-2.072316
cell_00544,-4.9435186,4.954423
cell_00545,2.6268237,4.8956943
cell_00546,-0.1541209,6.397465
cell_00547,-6.1408215,3.3502188
cell_00548,9.542015,-0.94653624
cell_00549,1.1807266,5.398739
cell_00550,3.667348,3.4840474
cell_00551,-5.2342286,4.73594
cell_00552,-5.631927,4.686614
cell_00553,8.122731,-4.9896965
cell_00554,-6.097416,1.8697393
cell_00555,-3.8451998,4.9998226
cell_00556,-3.7066991,6.4218516
cell_00557,4.6218348,2.0490074
cell_00558,5.1073627,-0.7745788
cell_00559,3.1677792,2.5424578
cell_00560,-4.8815875,3.6548073
cell_00561,-3.905707,5.5016727
cell_00562,8.332446,-5.40113
cell_00563,6.4581485,-3.0451732
cell_00564,7.259793,-2.0699258
cell_00565,8.387629,-0.3437663
cell_00566,10.513888,-1.4174927
cell_00567,-5.769915,1.9166765
cell_00568,-0.27580723,6.768678
cell_00569,5.245065,0.41896906
cell_00570,-1.4137958,6.8115506
cell_00571,9.915282,-3.8426645
cell_00572,3.6607351,3.1514494
cell_00573,7.053637,-4.3881297
cell_00574,10.04582,-1.8030753
cell_00575,4.274288,2.4072642
cell_00576,8.567248,-3.3184636
cell_00577,7.5315056,-0.17116708
cell_00578,10.067213,-2.617234
cell_00579,-1.879459,6.8501177
cell_00580,3.4749873,2.3678792
cell_00581,5.424215,1.6327364
cell_00582,-4.67623,3.118305
cell_00583,0.42594478,6.5586977
cell_00584,9.5860815,-3.161931
cell_00585,6.227485,-2.8292167
cell_00586,-4.807574,5.479019
cell_00587,-1.2545428,6.945045
cell_00588,-4.130358,6.177993
cell_00589,-6.4439583,1.5834756
cell_00590,10.194742,-3.2559266
cell_00591,2.3689969,4.578466
cell_00592,-2.4816878,6.403848
cell_00593,5.8172507,-2.0450087
cell_00594,-6.341963,1.1964068
cell_00595,-3.6952353,6.8760743
cell_00596,7.945055,-4.7668552
cell_00597,6.9080567,-1.4362664
cell_00598,7.9399366,-5.629356
cell_00599,6.307118,-2.9378433
cell_00600,3.117735,3.2976115
cell_00601,9.353905,-1.0208421
cell_00602,9.602833,-3.8257267
cell_00603,6.953988,-4.3594956
cell_00604,10.841804,-1.642618
cell_00605,9.426762,-3.1458313
cell_00606,7.660583,-4.230247
cell_00607,-4.3258376,3.170997
cell_00608,7.6132064,-5.1790996
cell_00609,1.6940107,4.9290547
cell_00610,4.203525,0.31446388
cell_00611,7.950526,-0.48202538
cell_00612,6.885567,-5.2258043
cell_00613,10.212508,-1.9361974
cell_00614,-2.9859867,6.609219
cell_00615,7.203761,-5.101664
cell_00616,6.782427,-4.0767026
cell_00617,-0.8078747,7.195508
cell_00618,-5.70278,4.4602966
cell_00619,-5.140702,1.815143
cell_00620,8.78925,-4.53434
cell_00621,4.417506,2.8198652
cell_00622,10.66137,-2.1192362
cell_00623,3.785412,4.3639364
cell_00624,8.760837,-4.9972405
cell_00625,1.3172303,5.632641
cell_00626,8.541171,-3.4907205
cell_00627,-5.2033005,2.223424
cell_00628,5.5331345,-0.043905407
cell_00629,8.561535,-4.0618024
cell_00630,6.296167,-4.9944034
cell_00631,8.142986,-5.671418
cell_00632,-5.743116,1.8127663
cell_00633,0.33865473,7.1382093
cell_00634,-5.816443,1.859355
cell_00635,-5.894679,2.9136486
cell_00636,7.655902,-1.6289409
cell_00637,7.3056903,-3.1627932
cell_00638,9.534391,-0.9601684
cell_00639,7.683356,-5.4920187
cell_00640,8.492891,-4.382116
cell_00641,7.6516457,-4.7844853
cell_00642,-6.253657,2.1122363
cell_00643,-4.4366927,6.287794
cell_00644,6.466285,-1.5733851
cell_00645,8.916935,-2.5251722
cell_00646,-6.5115504,0.9438406
cell_00647,5.301135,1.0266393
cell_00648,8.97777,-1.6255759
cell_00649,-6.0201263,1.3092151
cell_00650,1.0114431,7.0082946
cell_00651,9.711311,-1.3267628
cell_00652,8.606087,-2.1322324
cell_00653,-3.8017209,6.2115803
cell_00654,10.375331,-3.3351276
cell_00655,-1.7456708,6.6460824
cell_00656,9.403677,-1.7294015
cell_00657,-3.405511,6.740154
cell_00658,6.422664,-2.237047
cell_00659,0.62814516,7.0751023
cell_00660,-3.4345255,6.284592
cell_00661,10.364407,-1.545192
cell_00662,-3.840074,4.546672
cell_00663,-4.4220023,3.3540847
cell_00664,-0.83100575,7.224666
cell_00665,7.837854,-4.4449024
cell_00666,9.88489,-0.8662975
cell_00667,8.836862,-4.842304
cell_00668,-2.7740858,6.935848
cell_00669,0.6161992,6.174732
cell_00670,-5.3281555,4.9132004
cell_00671,5.313973,-1.070905
cell_00672,10.516656,-1.1418867
cell_00673,8.709568,-5.8550844
cell_00674,6.660929,-2.0132318
cell_00675,1.5113338,6.5337877
cell_00676,9.379586,-4.7303667
cell_00677,4.5190544,2.7107022
cell_00678,-5.73421,3.8393073
cell_00679,-0.25559026,6.730668
cell_00680,-5.45273,2.7292871
cell_00681,-2.8708022,6.0308228
cell_00682,-6.3464627,1.4495531
cell_00683,2.2776453,4.3777146
cell_00684,7.777335,-1.8925313
cell_00685,-1.2838216,7.3878775
cell_00686,1.2679564,5.326405
cell_00687,8.18911,-4.446145
cell_00688,8.357929,-4.640691
cell_00689,4.5605593,0.61088026
cell_00690,-2.794809,5.790368
cell_00691,8.497983,-2.8018632
cell_00692,-4.2926416,5.4333405
cell_00693,-1.7443491,6.561614
cell_00694,10.649912,-2.8901312
cell_00695,5.508648,0.6022896
cell_00696,10.033198,-3.3385365
cell_00697,6.434329,-1.1364259
cell_00698,6.954931,-2.8430974
cell_00699,-3.0879405,5.9168606
cell_00700,-4.307479,6.18771
cell_00701,-1.7532344,6.6341395
cell_00702,-5.0316386,4.5144625
cell_00703,10.020883,-1.8094995
cell_00704,-2.7105837,5.270434
cell_00705,5.0800114,0.0689442
cell_00706,7.7553363,-5.2746477
cell_00707,10.692872,-2.3285975
cell_00708,2.5872622,5.4984136
cell_00709,3.1566157,3.5328882
cell_00710,10.246253,-1.5995647
cell_00711,6.3599977,-3.9474502
cell_00712,9.594174,-3.1760898
cell_00713,9.542486,-3.885067
cell_00714,8.281363,-5.371489
cell_00715,-4.0489616,4.48827
cell_00716,6.813077,-1.0815742
cell_00717,-5.4536033,2.457503
cell_00718,6.620167,-4.3959193
cell_00719,9.419321,-1.504057
cell_00720,4.751383,1.8900539
cell_00721,1.772766,5.549983
cell_00722,-6.212376,2.3116784
cell_00723,8.435306,-5.882599
cell_00724,-6.044231,3.483236
cell_00725,-5.9172664,1.4002846
cell_00726,-3.3063805,5.8065176
cell_00727,-5.0028987,2.1803062
cell_00728,2.473746,4.650507
cell_00729,4.0005355,1.6674865
cell_00730,-2.3167205,6.7369537
cell_00731,-5.79837,2.0237849
cell_00732,-5.6654215,4.128011
cell_00733,0.20464166,6.9613795
cell_00734,-5.273607,2.2854614
cell_00735,9.5890255,-3.2868702
cell_00736,-4.0909147,5.2690754
cell_00737,-2.9171987,6.502921
cell_00738,1.4189516,6.307046
cell_00739,1.9861821,6.0189066
cell_00740,-5.916953,1.0348616
cell_00741,-4.4008017,3.0836632
cell_00742,7.9699597,-4.7796826
cell_00743,-6.493329,0.8900492
cell_00744,3.6905203,1.8964812
cell_00745,3.692108,2.9465866
cell_00746,-1.4478134,6.801229
cell_00747,2.002212,5.666722
cell_00748,9.745126,-2.8701994
cell_00749,9.442261,-1.8053281
cell_00750,-3.4775035,5.2702227
cell_00751,-2.3445463,7.0779014
cell_00752,-3.6397064,5.8510113
cell_00753,3.218694,3.3993979
cell_00754,7.355132,-2.5247712
cell_00755,-5.025982,5.600535
