,UMAP_1,UMAP_2,UMAP_3
cell_00458,11.055526,-2.0388074,0.32600307
cell_00459,10.359913,0.8046105,-0.007897844
cell_00460,8.774396,1.5208392,-0.1405423
cell_00461,-1.8293186,4.810993,3.3632188
cell_00462,10.709059,-3.5079596,-1.1196471
cell_00463,0.5195859,6.017892,2.3949282
cell_00464,9.584669,0.35536146,-0.5254721
cell_00465,10.194879,-2.4814668,-1.2956276
cell_00466,10.567608,-0.5060928,0.31535733
cell_00467,11.433282,-1.4452368,2.2722468
cell_00468,-2.2172103,5.5863967,2.9092846
cell_00469,9.098965,2.3500676,-0.022952113
cell_00470,3.5564783,6.529002,1.3381497
cell_00471,7.3508534,5.0281982,0.599061
cell_00472,-1.9113947,4.670419,3.1660469
cell_00473,-1.5641763,5.5988092,3.5456629
cell_00474,-0.12455469,6.156065,3.974511
cell_00475,0.0014513927,6.677559,3.1637244
cell_00476,5.6696286,6.05393,1.5518647
cell_00477,10.059252,0.5367193,0.4208708
cell_00478,9.830347,-1.710191,-0.504786
cell_00479,4.684839,6.2897973,1.8484242
cell_00480,4.067273,6.2594585,2.0691407
cell_00481,-1.0102822,5.887087,2.7057567
cell_00482,10.172013,0.84607005,-1.2132709
cell_00483,0.6978103,6.6497407,2.0945215
cell_00484,-4.2165394,3.2326753,4.97767
cell_00485,4.78453,6.056066,1.1411875
cell_00486,7.337393,4.7765455,0.6678152
cell_00487,-1.4397745,6.4181232,3.7912872
cell_00488,9.214173,0.8999289,-0.17838505
cell_00489,8.514125,1.7218499,-0.7097847
cell_00490,10.572141,-1.3607436,-1.315941
cell_00491,9.7697935,-0.7260031,-1.1795818
cell_00492,10.132392,-0.32849818,1.0533895
cell_00493,0.85192424,6.379035,2.6412077
cell_00494,10.386182,-3.4182525,-0.82890946
cell_00495,8.9085455,2.0101607,-0.9644798
cell_00496,5.312076,5.88839,1.6913942
cell_00497,10.497397,-0.09494726,0.7141286
cell_00498,2.0210593,6.929397,2.5708048
cell_00499,8.072121,3.5999217,-0.49537513
cell_00500,10.49641,-3.3845923,-1.269025
cell_00501,10.086844,-3.427126,-0.94471306
cell_00502,11.106004,-1.9553971,2.135885
cell_00503,7.28096,4.063619,0.25633553
cell_00504,7.773893,3.612416,-0.7631529
cell_00505,9.584641,-3.5356703,-0.81648535
cell_00506,1.1727959,6.786738,3.15103
cell_00507,11.715997,-1.5134529,0.4398952
cell_00508,7.657528,3.560604,-0.23687892
